round,event_name,location,country
1,Australian Grand Prix,Melbourne,Australia
2,Chinese Grand Prix,Shanghai,China
3,Japanese Grand Prix,Suzuka,Japan
4,Bahrain Grand Prix,Sakhir,Bahrain
5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia
6,Miami Grand Prix,Miami Gardens,United States
7,Emilia Romagna Grand Prix,Imola,Italy
8,Monaco Grand Prix,Monaco,Monaco
9,Spanish Grand Prix,Barcelona,Spain
10,Canadian Grand Prix,Montréal,Canada
11,Austrian Grand Prix,Spielberg,Austria
12,British Grand Prix,Silverstone,United Kingdom
13,Belgian Grand Prix,Spa-Francorchamps,Belgium
14,Hungarian Grand Prix,Budapest,Hungary
15,Dutch Grand Prix,Zandvoort,Netherlands
16,Italian Grand Prix,Monza,Italy
17,Azerbaijan Grand Prix,Baku,Azerbaijan
18,Singapore Grand Prix,Marina Bay,Singapore
19,United States Grand Prix,Austin,United States
20,Mexico City Grand Prix,Mexico City,Mexico
21,São Paulo Grand Prix,São Paulo,Brazil
22,Las Vegas Grand Prix,Las Vegas,United States
23,Qatar Grand Prix,Lusail,Qatar
24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates
