round,lap_number,compound,tyre_life,position_at_lap,driver_id,lap_time_seconds
1,1.0,INTERMEDIATE,1.0,2.0,max_verstappen,119.392
1,2.0,INTERMEDIATE,2.0,2.0,max_verstappen,
1,3.0,INTERMEDIATE,3.0,2.0,max_verstappen,
1,4.0,INTERMEDIATE,4.0,2.0,max_verstappen,
1,5.0,INTERMEDIATE,5.0,2.0,max_verstappen,143.609
1,6.0,INTERMEDIATE,6.0,2.0,max_verstappen,139.654
1,7.0,INTERMEDIATE,7.0,2.0,max_verstappen,136.447
1,8.0,INTERMEDIATE,8.0,2.0,max_verstappen,96.83
1,9.0,INTERMEDIATE,9.0,2.0,max_verstappen,94.315
1,10.0,INTERMEDIATE,10.0,2.0,max_verstappen,92.65
1,11.0,INTERMEDIATE,11.0,2.0,max_verstappen,92.453
1,12.0,INTERMEDIATE,12.0,2.0,max_verstappen,91.591
1,13.0,INTERMEDIATE,13.0,2.0,max_verstappen,91.271
1,14.0,INTERMEDIATE,14.0,2.0,max_verstappen,90.639
1,15.0,INTERMEDIATE,15.0,2.0,max_verstappen,90.328
1,16.0,INTERMEDIATE,16.0,2.0,max_verstappen,90.592
1,17.0,INTERMEDIATE,17.0,3.0,max_verstappen,93.392
1,18.0,INTERMEDIATE,18.0,3.0,max_verstappen,92.169
1,19.0,INTERMEDIATE,19.0,3.0,max_verstappen,91.939
1,20.0,INTERMEDIATE,20.0,3.0,max_verstappen,91.598
1,21.0,INTERMEDIATE,21.0,3.0,max_verstappen,91.177
1,22.0,INTERMEDIATE,22.0,3.0,max_verstappen,91.04
1,23.0,INTERMEDIATE,23.0,3.0,max_verstappen,90.686
1,24.0,INTERMEDIATE,24.0,3.0,max_verstappen,90.978
1,25.0,INTERMEDIATE,25.0,3.0,max_verstappen,90.845
1,26.0,INTERMEDIATE,26.0,3.0,max_verstappen,90.293
1,27.0,INTERMEDIATE,27.0,3.0,max_verstappen,89.731
1,28.0,INTERMEDIATE,28.0,3.0,max_verstappen,89.411
1,29.0,INTERMEDIATE,29.0,3.0,max_verstappen,89.043
1,30.0,INTERMEDIATE,30.0,3.0,max_verstappen,88.237
1,31.0,INTERMEDIATE,31.0,3.0,max_verstappen,88.127
1,32.0,INTERMEDIATE,32.0,3.0,max_verstappen,88.208
1,33.0,INTERMEDIATE,33.0,3.0,max_verstappen,88.046
1,34.0,INTERMEDIATE,34.0,3.0,max_verstappen,128.598
1,35.0,MEDIUM,1.0,3.0,max_verstappen,124.508
1,36.0,MEDIUM,2.0,3.0,max_verstappen,116.334
1,37.0,MEDIUM,3.0,3.0,max_verstappen,
1,38.0,MEDIUM,4.0,3.0,max_verstappen,137.91
1,39.0,MEDIUM,5.0,3.0,max_verstappen,132.714
1,40.0,MEDIUM,6.0,3.0,max_verstappen,131.498
1,41.0,MEDIUM,7.0,3.0,max_verstappen,132.004
1,42.0,MEDIUM,8.0,3.0,max_verstappen,85.317
1,43.0,MEDIUM,9.0,3.0,max_verstappen,83.081
1,44.0,MEDIUM,10.0,1.0,max_verstappen,86.789
1,45.0,MEDIUM,11.0,1.0,max_verstappen,92.874
1,46.0,MEDIUM,12.0,5.0,max_verstappen,112.606
1,47.0,INTERMEDIATE,1.0,2.0,max_verstappen,127.213
1,48.0,INTERMEDIATE,2.0,2.0,max_verstappen,122.406
1,49.0,INTERMEDIATE,3.0,2.0,max_verstappen,144.892
1,50.0,INTERMEDIATE,4.0,2.0,max_verstappen,142.085
1,51.0,INTERMEDIATE,5.0,2.0,max_verstappen,133.879
1,52.0,INTERMEDIATE,6.0,2.0,max_verstappen,93.864
1,53.0,INTERMEDIATE,7.0,2.0,max_verstappen,90.859
1,54.0,INTERMEDIATE,8.0,2.0,max_verstappen,89.1
1,55.0,INTERMEDIATE,9.0,2.0,max_verstappen,88.538
1,56.0,INTERMEDIATE,10.0,2.0,max_verstappen,87.921
1,57.0,INTERMEDIATE,11.0,2.0,max_verstappen,87.4
1,1.0,INTERMEDIATE,1.0,9.0,gasly,134.132
1,2.0,INTERMEDIATE,2.0,9.0,gasly,
1,3.0,INTERMEDIATE,3.0,9.0,gasly,
1,4.0,INTERMEDIATE,4.0,9.0,gasly,
1,5.0,INTERMEDIATE,5.0,9.0,gasly,141.36
1,6.0,INTERMEDIATE,6.0,9.0,gasly,139.952
1,7.0,INTERMEDIATE,7.0,9.0,gasly,126.733
1,8.0,INTERMEDIATE,8.0,9.0,gasly,98.441
1,9.0,INTERMEDIATE,9.0,9.0,gasly,96.062
1,10.0,INTERMEDIATE,10.0,9.0,gasly,95.527
1,11.0,INTERMEDIATE,11.0,9.0,gasly,94.702
1,12.0,INTERMEDIATE,12.0,9.0,gasly,94.227
1,13.0,INTERMEDIATE,13.0,9.0,gasly,93.275
1,14.0,INTERMEDIATE,14.0,9.0,gasly,92.859
1,15.0,INTERMEDIATE,15.0,9.0,gasly,92.744
1,16.0,INTERMEDIATE,16.0,9.0,gasly,92.445
1,17.0,INTERMEDIATE,17.0,9.0,gasly,92.795
1,18.0,INTERMEDIATE,18.0,9.0,gasly,93.124
1,19.0,INTERMEDIATE,19.0,9.0,gasly,92.462
1,20.0,INTERMEDIATE,20.0,9.0,gasly,92.327
1,21.0,INTERMEDIATE,21.0,9.0,gasly,92.323
1,22.0,INTERMEDIATE,22.0,9.0,gasly,92.355
1,23.0,INTERMEDIATE,23.0,9.0,gasly,92.438
1,24.0,INTERMEDIATE,24.0,9.0,gasly,92.035
1,25.0,INTERMEDIATE,25.0,9.0,gasly,91.622
1,26.0,INTERMEDIATE,26.0,9.0,gasly,90.928
1,27.0,INTERMEDIATE,27.0,9.0,gasly,90.635
1,28.0,INTERMEDIATE,28.0,9.0,gasly,90.382
1,29.0,INTERMEDIATE,29.0,9.0,gasly,90.051
1,30.0,INTERMEDIATE,30.0,9.0,gasly,90.124
1,31.0,INTERMEDIATE,31.0,9.0,gasly,89.299
1,32.0,INTERMEDIATE,32.0,9.0,gasly,89.383
1,33.0,INTERMEDIATE,33.0,9.0,gasly,111.3
1,34.0,HARD,1.0,9.0,gasly,145.049
1,35.0,HARD,2.0,9.0,gasly,105.531
1,36.0,HARD,3.0,9.0,gasly,101.62
1,37.0,HARD,4.0,9.0,gasly,127.218
1,38.0,HARD,5.0,9.0,gasly,139.376
1,39.0,HARD,6.0,9.0,gasly,131.226
1,40.0,HARD,7.0,9.0,gasly,130.476
1,41.0,HARD,8.0,9.0,gasly,126.368
1,42.0,HARD,9.0,9.0,gasly,87.942
1,43.0,HARD,10.0,9.0,gasly,85.02
1,44.0,HARD,11.0,4.0,gasly,88.332
1,45.0,HARD,12.0,4.0,gasly,92.969
1,46.0,HARD,13.0,11.0,gasly,116.069
1,47.0,INTERMEDIATE,1.0,8.0,gasly,126.74
1,48.0,INTERMEDIATE,2.0,8.0,gasly,121.785
1,49.0,INTERMEDIATE,3.0,8.0,gasly,144.669
1,50.0,INTERMEDIATE,4.0,8.0,gasly,137.754
1,51.0,INTERMEDIATE,5.0,8.0,gasly,131.745
1,52.0,INTERMEDIATE,6.0,8.0,gasly,96.326
1,53.0,INTERMEDIATE,7.0,8.0,gasly,92.297
1,54.0,INTERMEDIATE,8.0,10.0,gasly,94.967
1,55.0,INTERMEDIATE,9.0,11.0,gasly,92.316
1,56.0,INTERMEDIATE,10.0,11.0,gasly,90.866
1,57.0,INTERMEDIATE,11.0,11.0,gasly,91.312
1,1.0,INTERMEDIATE,1.0,13.0,antonelli,142.352
1,2.0,INTERMEDIATE,2.0,13.0,antonelli,
1,3.0,INTERMEDIATE,3.0,13.0,antonelli,
1,4.0,INTERMEDIATE,4.0,13.0,antonelli,
1,5.0,INTERMEDIATE,5.0,13.0,antonelli,139.163
1,6.0,INTERMEDIATE,6.0,13.0,antonelli,141.111
1,7.0,INTERMEDIATE,7.0,13.0,antonelli,123.412
1,8.0,INTERMEDIATE,8.0,13.0,antonelli,98.729
1,9.0,INTERMEDIATE,9.0,13.0,antonelli,96.312
1,10.0,INTERMEDIATE,10.0,13.0,antonelli,95.27
1,11.0,INTERMEDIATE,11.0,13.0,antonelli,94.678
1,12.0,INTERMEDIATE,12.0,13.0,antonelli,95.385
1,13.0,INTERMEDIATE,13.0,13.0,antonelli,93.697
1,14.0,INTERMEDIATE,14.0,12.0,antonelli,93.802
1,15.0,INTERMEDIATE,15.0,12.0,antonelli,92.212
1,16.0,INTERMEDIATE,16.0,13.0,antonelli,97.326
1,17.0,INTERMEDIATE,17.0,12.0,antonelli,92.312
1,18.0,INTERMEDIATE,18.0,12.0,antonelli,92.181
1,19.0,INTERMEDIATE,19.0,12.0,antonelli,91.942
1,20.0,INTERMEDIATE,20.0,12.0,antonelli,91.319
1,21.0,INTERMEDIATE,21.0,12.0,antonelli,91.042
1,22.0,INTERMEDIATE,22.0,11.0,antonelli,91.887
1,23.0,INTERMEDIATE,23.0,11.0,antonelli,91.324
